SourceFile,FileName,CreateDate
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-09-06__17-08-25.MP4,CEBUS-08-R5__2018-09-06__17-08-25.MP4,06/09/2018_17:08:25
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-09-06__17-14-09.MP4,CEBUS-08-R5__2018-09-06__17-14-09.MP4,06/09/2018_17:14:09
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-09-06__17-14-54.MP4,CEBUS-08-R5__2018-09-06__17-14-54.MP4,06/09/2018_17:14:54
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-09-06__17-15-37.MP4,CEBUS-08-R5__2018-09-06__17-15-37.MP4,06/09/2018_17:15:37
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-09-06__17-16-42.MP4,CEBUS-08-R5__2018-09-06__17-16-42.MP4,06/09/2018_17:16:42
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-09-06__17-19-33.MP4,CEBUS-08-R5__2018-09-06__17-19-33.MP4,06/09/2018_17:19:33
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-09-07__18-13-06.MP4,CEBUS-08-R5__2018-09-07__18-13-06.MP4,07/09/2018_18:13:06
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-09-09__17-56-34.MP4,CEBUS-08-R5__2018-09-09__17-56-34.MP4,09/09/2018_17:56:34
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-09-09__18-01-33.MP4,CEBUS-08-R5__2018-09-09__18-01-33.MP4,09/09/2018_18:01:33
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-09-10__17-47-41.MP4,CEBUS-08-R5__2018-09-10__17-47-41.MP4,10/09/2018_17:47:41
/Volumes/Coiba Image Data/renamed_data/R5/CEBUS-08-R5/CEBUS-08-R5__2018-09-10__17-48-51.MP4,CEBUS-08-R5__2018-09-10__17-48-51.MP4,10/09/2018_17:48:51
