"sequenceid","deploymentid","samplingpoint","projectname","organisationname","isblank","issetuppickup","isunknown","sequencestart","sequenceend","countassets","link"
"48d4cf12-f9e4-4f95-8db2-ba2d751aec46","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:04:24 09:29:16""","""2018:04:24 09:29:48""","20","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/48d4cf12-f9e4-4f95-8db2-ba2d751aec46"
"2b92a0eb-a540-4b55-924a-47fb6c75ea54","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:04:27 10:07:06""","""2018:04:27 10:07:35""","40","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/2b92a0eb-a540-4b55-924a-47fb6c75ea54"
"d99f2463-da40-4541-a0f7-419fe8540766","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:04:07 17:42:15""","""2018:04:07 17:43:07""","40","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/d99f2463-da40-4541-a0f7-419fe8540766"
"e954f87a-86ba-4757-baed-ee35e093963a","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:04:14 13:19:37""","""2018:04:14 13:19:58""","30","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/e954f87a-86ba-4757-baed-ee35e093963a"
"1898fafe-2bf6-43aa-88c2-5e1229a33b08","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:04:25 11:22:16""","""2018:04:25 11:22:51""","40","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/1898fafe-2bf6-43aa-88c2-5e1229a33b08"
"ba33e8ee-5a56-4569-b4a0-13a0d39f3b74","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:04:19 12:50:51""","""2018:04:19 12:51:29""","40","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/ba33e8ee-5a56-4569-b4a0-13a0d39f3b74"
"17e2260a-d615-47a5-b6ec-73bde49ae464","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:04:20 14:03:32""","""2018:04:20 14:04:02""","30","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/17e2260a-d615-47a5-b6ec-73bde49ae464"
"619e3642-7c45-4168-8a1f-3c30ee4e8c25","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:05:05 13:33:45""","""2018:05:05 13:34:13""","40","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/619e3642-7c45-4168-8a1f-3c30ee4e8c25"
"b6f7d91e-20f3-4b52-b3ea-412efcc0a593","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:04:20 14:31:57""","""2018:04:20 14:32:33""","40","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/b6f7d91e-20f3-4b52-b3ea-412efcc0a593"
"7fa0dbc6-73e7-4682-a886-473e3689ab98","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:05:21 10:10:29""","""2018:05:21 10:11:31""","40","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/7fa0dbc6-73e7-4682-a886-473e3689ab98"
"ebec4236-476d-470c-adff-db0e6e4cfd39","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:04:21 11:42:35""","""2018:04:21 11:43:34""","40","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/ebec4236-476d-470c-adff-db0e6e4cfd39"
"fdd80212-321b-4b27-87cf-430806bb5b34","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:04:25 11:19:23""","""2018:04:25 11:20:28""","40","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/fdd80212-321b-4b27-87cf-430806bb5b34"
"ffc5950b-b7dc-4e75-8389-b01e38ec4ff2","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:04:27 10:18:42""","""2018:04:27 10:19:16""","30","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/ffc5950b-b7dc-4e75-8389-b01e38ec4ff2"
"4ff170ab-8e6b-46fc-9df8-cf21126a4bc0","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:05:05 13:27:07""","""2018:05:05 13:27:58""","40","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/4ff170ab-8e6b-46fc-9df8-cf21126a4bc0"
"dd8ddf81-475b-42cd-8c29-4ae827081cf2","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:05:05 13:28:39""","""2018:05:05 13:29:03""","30","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/dd8ddf81-475b-42cd-8c29-4ae827081cf2"
"94199c95-1f6f-40c6-8021-c872aa6b09b0","ed1d7fc3-172c-4aa0-8397-e3283b2cc9db","CEBUS-02","Coiba National Park Tool Use","Max Planck Institute for Animal Behavior",,,,"""2018:05:18 12:10:56""","""2018:05:18 12:11:38""","40","https://www.agouti.eu/#/project/0e0508af-d3dc-4be6-9806-dbdba5ec3368/annotate/sequence/94199c95-1f6f-40c6-8021-c872aa6b09b0"
