Observation id	Observation date	Description	Media file	Total length	FPS	Coder ID	Subject	Behavior	Behavioral category	Modifiers	Behavior type	Start (s)	Stop (s)	Duration (s)	Comment start	Comment stop
EXP-ANV-01-R11__2022-04-25__13-39-47	2023-01-04 16:12:12		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-25__13-39-47.MP4	60.860	29.97	ZG	MIC	misstrike	Behavior	itemflies	POINT	6.640	6.640	NA		
EXP-ANV-01-R11__2022-03-16__17-22-57	2023-01-02 16:32:14		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-16__17-22-57.MP4	60.890	29.97	ZG	BAL	pound	Behavior	stand|None|None	POINT	6.707	6.707	NA		
EXP-ANV-01-R11__2022-03-25__17-47-34	2023-01-03 14:39:52		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-25__17-47-34.MP4	60.860	29.97	ZG	SMG	pound	Behavior	jump|None|None	POINT	6.707	6.707	NA		
EXP-ANV-01-R11__2022-04-25__12-50-13	2023-01-04 14:09:00		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-25__12-50-13.MP4	60.890	29.97	ZG	ZIM	reposit	Behavior	item	POINT	6.707	6.707	NA		
EXP-ANV-01-R11__2022-03-16__12-10-48	2023-01-02 13:30:38		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-16__12-10-48.MP4	60.860	29.97	ZG	SPT	pound	Behavior	crouch|None|None	POINT	6.740	6.740	NA		
EXP-ANV-01-R11__2022-03-16__17-12-40	2023-01-02 16:24:11		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-16__17-12-40.MP4	60.930	29.97	ZG	TOM	pound	Behavior	crouch|None|None	POINT	6.773	6.773	NA		
EXP-ANV-01-R11__2022-03-25__17-48-46	2023-01-03 14:45:52		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-25__17-48-46.MP4	60.860	29.97	ZG	adultmale	pound	Behavior	crouch|None|None	POINT	6.907	6.907	NA		
EXP-ANV-01-R11__2022-04-22__17-30-24	2023-01-03 16:28:04		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-22__17-30-24.MP4	60.890	29.97	ZG	BAL	pound	Behavior	stand|1foot|None	POINT	6.907	6.907	NA		
EXP-ANV-01-R11__2022-04-25__12-39-44	2023-01-04 10:57:40		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-25__12-39-44.MP4	60.890	29.97	ZG	BAL	reposit	Behavior	hammer	POINT	6.974	6.974	NA		
EXP-ANV-01-R11__2022-04-25__12-45-10	2023-01-04 13:39:40		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-04-25__12-45-10.MP4	60.860	29.97	ZG	ZIM	reposit	Behavior	item	POINT	6.974	6.974	NA		
EXP-ANV-01-R11__2022-03-21__06-51-27	2023-01-03 12:42:08		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-21__06-51-27.MP4	60.890	29.97	ZG	juvenileunknown	reposit	Behavior	peel	POINT	7.074	7.074	NA		
EXP-ANV-01-R11__2022-03-27__17-58-12	2023-01-03 16:07:48		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-27__17-58-12.MP4	60.690	29.97	ZG	TOM	pound	Behavior	stand|None|None	POINT	7.074	7.074	NA		
EXP-ANV-01-R11__2022-03-25__17-59-11	2023-01-03 15:18:51		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-25__17-59-11.MP4	60.860	29.97	ZG	BAL	seqend	Sequence info	opened|None|None|None	POINT	7.107	7.107	NA	"pushes hammerstone off anvil
"	
EXP-ANV-01-R11__2022-03-16__17-03-12	2023-01-02 13:59:25		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-16__17-03-12.MP4	60.860	29.97	ZG	BAL	pound	Behavior	stand|None|overhead	POINT	7.140	7.140	NA		
EXP-ANV-01-R11__2022-03-22__07-09-49	2023-01-03 13:50:56		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-22__07-09-49.MP4	60.890	29.97	ZG	juvenileunknown	pound	Behavior	stand|None|None	POINT	7.140	7.140	NA		
EXP-ANV-01-R11__2022-03-27__17-56-38	2023-01-03 16:03:44		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-27__17-56-38.MP4	60.860	29.97	ZG	juvenileunknown	pound	Behavior	stand|None|overhead	POINT	7.174	7.174	NA		
EXP-ANV-01-R11__2022-03-25__18-08-10	2023-01-03 15:32:27		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-25__18-08-10.MP4	60.690	29.97	ZG	PEA	pound	Behavior	stand|None|None	POINT	7.307	7.307	NA		
EXP-ANV-01-R11__2022-03-17__18-13-45	2023-01-03 11:42:19		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-17__18-13-45.MP4	60.890	29.97	ZG	PEA	pound	Behavior	stand|1foot|None	POINT	7.341	7.341	NA		
EXP-ANV-01-R11__2022-03-17__18-13-45	2023-01-03 11:42:19		Y:/capuchin_coiba/working/Detailedtools/EXP-ANV-01-R11/EXP-ANV-01-R11__2022-03-17__18-13-45.MP4	60.890	29.97	ZG	PEA	misstrike	Behavior	itemflies	POINT	7.341	7.341	NA		
